name,playtime,Game_ids,Steam_id
Titan Quest Anniversary Edition,0,475150,76561198057012202
Iron Grip: Warlord,83,31700,76561198057012202
F.E.A.R. 3,0,21100,76561198057012202
Magicka,214,42910,76561198057012202
Bulletstorm,369,99810,76561198057012202
Homefront,309,55100,76561198057012202
Men of War: Assault Squad,0,64000,76561198057012202
SpaceChem,0,92800,76561198057012202
Garshasp: The Monster Slayer,35,99400,76561198057012202
Post Apocalyptic Mayhem,5,91900,76561198057012202
Atom Zombie Smasher ,0,55040,76561198057012202
Assassin's Creed Brotherhood,1458,48190,76561198057012202
Sanctum,301,91600,76561198057012202
Alien Breed: Impact,0,22610,76561198057012202
Alien Breed 2: Assault,0,22650,76561198057012202
Alien Breed 3: Descent,0,22670,76561198057012202
Capsized,0,95300,76561198057012202
Operation Flashpoint: Red River,0,44340,76561198057012202
Dino D-Day,3,70000,76561198057012202
Portal 2,2292,620,76561198057012202
Galactic Arms Race,0,249610,76561198057012202
Anomaly Warzone Earth,0,91200,76561198057012202
Worms Reloaded,0,22600,76561198057012202
Hamilton's Great Adventure,50,42140,76561198057012202
Terraria,1004,105600,76561198057012202
The Witcher 2: Assassins of Kings Enhanced Edition,2851,20920,76561198057012202
Portal 2 - The Final Hours,54,104600,76561198057012202
Hydrophobia: Prophecy,0,92000,76561198057012202
Puzzle Agent,98,31270,76561198057012202
Frozen Synapse,0,98200,76561198057012202
The Sims(TM) Medieval,967,102820,76561198057012202
E.Y.E: Divine Cybermancy,0,91700,76561198057012202
Hacker Evolution Duality,0,70120,76561198057012202
Aztaka,0,37100,76561198057012202
F.E.A.R. 2: Project Origin,424,16450,76561198057012202
Solar 2,0,97000,76561198057012202
Painkiller Overdose,0,3270,76561198057012202
Dwarfs!?,0,35480,76561198057012202
Penguins Arena: Sedna's World,0,11280,76561198057012202
Syberia,0,46500,76561198057012202
Syberia 2,0,46510,76561198057012202
Eschalon: Book 1,0,25600,76561198057012202
Eschalon: Book 2,0,25620,76561198057012202
EDGE,0,38740,76561198057012202
Driver San Francisco,387,33440,76561198057012202
Borderlands GOTY,2083,8980,76561198057012202
Borderlands GOTY Enhanced,0,729040,76561198057012202
Kane & Lynch: Dead Men,81,8080,76561198057012202
Dungeons of Dredmor,292,98800,76561198057012202
Breath of Death VII ,0,107300,76561198057012202
Cthulhu Saves the World ,0,107310,76561198057012202
"Warhammer 40,000: Space Marine",0,55150,76561198057012202
Defy Gravity,2,96100,76561198057012202
Rising Storm/Red Orchestra 2 Multiplayer,0,35450,76561198057012202
Red Orchestra 2: Heroes of Stalingrad - Single Player,0,236830,76561198057012202
Dead Horde,0,27940,76561198057012202
The Lord of the Rings: War in the North,119,32800,76561198057012202
Doc Clock: The Toasted Sandwich of Time,0,57800,76561198057012202
Gatling Gears,0,102810,76561198057012202
Deus Ex: Human Revolution,1357,28050,76561198057012202
Robin Hood,0,46560,76561198057012202
Call of Juarez: The Cartel,0,33420,76561198057012202
Batman: Arkham City™,1089,57400,76561198057012202
Batman: Arkham City GOTY,0,200260,76561198057012202
The Elder Scrolls V: Skyrim,13504,72850,76561198057012202
DUNGEONS - The Dark Lord (Steam Special Edition),0,200550,76561198057012202
PAYDAY: The Heist,836,24240,76561198057012202
HOARD,0,63000,76561198057012202
Sniper: Ghost Warrior,0,34830,76561198057012202
Shank 2,0,102840,76561198057012202
Gemini Rue,0,80310,76561198057012202
Deus Ex: Human Revolution - The Missing Link,211,201280,76561198057012202
Disciples III: Resurrection,0,200670,76561198057012202
Sword of the Stars II: Enhanced Edition,0,42990,76561198057012202
RAGE,2112,9200,76561198057012202
Worms Blast,4,70650,76561198057012202
Serious Sam: The Random Encounter,0,201480,76561198057012202
Revelations 2012,11,201070,76561198057012202
L.A. Noire,3470,110800,76561198057012202
Gothic 3,0,39500,76561198057012202
Gothic II: Gold Edition,0,39510,76561198057012202
ArcaniA,0,39690,76561198057012202
Gothic,59,65540,76561198057012202
Gothic 3 Forsaken Gods Enhanced Edition,0,65600,76561198057012202
ArcaniA: Fall of Setarrif,0,65610,76561198057012202
Ignite,5,45410,76561198057012202
APOX,0,80000,76561198057012202
NightSky,0,99700,76561198057012202
Saints Row: The Third,10840,55230,76561198057012202
Grotesque Tactics 2 - Dungeons and Donuts,0,46570,76561198057012202
Darwinia,0,1500,76561198057012202
Uplink,0,1510,76561198057012202
DEFCON,0,1520,76561198057012202
Multiwinia,0,1530,76561198057012202
Jurassic Park: The Game,0,201830,76561198057012202
Serious Sam 3: BFE,299,41070,76561198057012202
Really Big Sky,0,201570,76561198057012202
Hearts of Iron III,0,25890,76561198057012202
Fractal: Make Blooms Not War,0,61310,76561198057012202
Flatout 3,0,201510,76561198057012202
Galactic Civilizations II: Ultimate Edition,0,202200,76561198057012202
Zombie Shooter 2,0,33180,76561198057012202
Zombie Shooter,0,33130,76561198057012202
Eets,3,6100,76561198057012202
Sonic Adventure DX,0,71250,76561198057012202
Sonic CD,0,200940,76561198057012202
Dear Esther,0,203810,76561198057012202
Dear Esther: Landmark Edition,82,520720,76561198057012202
Magicka: Wizard Wars,0,202090,76561198057012202
Beat Hazard,779,49600,76561198057012202
Half-Life 2: Episode Two,393,420,76561198057012202
Fable - The Lost Chapters,49,204030,76561198057012202
The Darkness II,351,67370,76561198057012202
Fallout: New Vegas,7124,22380,76561198057012202
RACE 07: Andy Priaulx Crowne Plaza Raceway,0,8650,76561198057012202
Sins of a Solar Empire: Rebellion,0,204880,76561198057012202
RoboBlitz,0,4300,76561198057012202
Snuggle Truck,0,111100,76561198057012202
Kingdoms of Amalur: Reckoning™,978,102500,76561198057012202
Toki Tori,0,38700,76561198057012202
Dungeon Defenders,1637,65800,76561198057012202
Painkiller: Recurring Evil,0,206760,76561198057012202
Hitman: Blood Money,54,6860,76561198057012202
Legend of Grimrock,405,207170,76561198057012202
Serious Sam 2,132,204340,76561198057012202
English Country Tune,0,207570,76561198057012202
Hard Reset,116,98400,76561198057012202
A Virus Named TOM,0,207650,76561198057012202
Ticket to Ride,0,108200,76561198057012202
Loadout,0,208090,76561198057012202
Pickers,0,204440,76561198057012202
Fireburst,32,207190,76561198057012202
Orcs Must Die!,0,102600,76561198057012202
Gettysburg: Armored Warfare,0,200630,76561198057012202
DiRT Showdown,0,201700,76561198057012202
iBomber Defense Pacific,0,206690,76561198057012202
Majesty: Gold Edition,0,25990,76561198057012202
Majesty Gold HD,0,73230,76561198057012202
Assassin's Creed Revelations,817,201870,76561198057012202
Nexuiz,0,96800,76561198057012202
Nexuiz Beta,0,216370,76561198057012202
Nexuiz STUPID Mode,0,225760,76561198057012202
Men of War: Condemned Heroes,0,204860,76561198057012202
Stellar Impact,170,207150,76561198057012202
Botanicula,203,207690,76561198057012202
Rune Classic,562,210950,76561198057012202
Colour Bind,3,208710,76561198057012202
Warlock - Master of the Arcane,0,203630,76561198057012202
Just Cause,3,6880,76561198057012202
The Walking Dead,1076,207610,76561198057012202
Adventures of Shuggy,0,211440,76561198057012202
Thief Gold,1,211600,76561198057012202
Mortal Kombat Kollection,0,205350,76561198057012202
Kung Fu Strike: The Warrior's Rise,0,212030,76561198057012202
The Void,0,37000,76561198057012202
Dynamite Jack,0,202730,76561198057012202
BioShock,695,7670,76561198057012202
BioShock Remastered,0,409710,76561198057012202
BioShock 2,0,8850,76561198057012202
BioShock 2 Remastered,0,409720,76561198057012202
Avernum 4,20,206020,76561198057012202
Avernum 5,0,206040,76561198057012202
Avernum 6,0,206060,76561198057012202
Offspring Fling!,223,211360,76561198057012202
Hitman: Sniper Challenge,21,205930,76561198057012202
X-COM: Terror from the Deep,0,7650,76561198057012202
X-COM: Apocalypse,0,7660,76561198057012202
X-COM: Interceptor,0,7730,76561198057012202
X-COM: UFO Defense,0,7760,76561198057012202
X-COM: Enforcer,0,7770,76561198057012202
Mad Riders,630,208860,76561198057012202
Quantum Conundrum,439,200010,76561198057012202
Alien Shooter 2 Conscription,0,211010,76561198057012202
Crysis 2 Maximum Edition,522,108800,76561198057012202
Psychonauts,185,3830,76561198057012202
LIMBO,230,48000,76561198057012202
Amnesia: The Dark Descent,267,57300,76561198057012202
Superbrothers: Sword & Sworcery EP,8,204060,76561198057012202
Bastion,352,107100,76561198057012202
Max Payne 3,523,204100,76561198057012202
Indie Game: The Movie,97,207080,76561198057012202
Braid,13,26800,76561198057012202
Super Meat Boy,78,40800,76561198057012202
Lone Survivor: The Director's Cut,11,209830,76561198057012202
Clive Barker's Jericho,0,11420,76561198057012202
FUEL,921,12800,76561198057012202
GRID,0,12750,76561198057012202
Hospital Tycoon,0,11590,76561198057012202
Operation Flashpoint: Dragon Rising,0,12830,76561198057012202
Overlord II,0,12810,76561198057012202
Rise of the Argonauts,0,12770,76561198057012202
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,0,213030,76561198057012202
Dota 2 Test,0,205790,76561198057012202
Tiny and Big: Grandpa's Leftovers,0,205910,76561198057012202
Spec Ops: The Line,409,50300,76561198057012202
Dead Island,1629,91310,76561198057012202
Inversion™,0,212410,76561198057012202
Blacklight: Tango Down,0,27330,76561198057012202
Blades of Time,0,208670,76561198057012202
Ravaged Zombie Apocalypse,0,96300,76561198057012202
Alan Wake,2164,108710,76561198057012202
Alan Wake's American Nightmare,781,202750,76561198057012202
Space Rangers,2,46320,76561198057012202
Death to Spies,24,9800,76561198057012202
Death to Spies: Moment of Truth,0,34410,76561198057012202
Star Wolves,0,46270,76561198057012202
Rig 'n' Roll,97,46370,76561198057012202
Theatre of War 2: Africa 1943,0,46340,76561198057012202
Reign: Conflict of Nations,0,46380,76561198057012202
Babel Rising,0,204840,76561198057012202
Orcs Must Die! 2,0,201790,76561198057012202
Batman: Arkham Asylum GOTY Edition,617,35140,76561198057012202
The Binding of Isaac,119,113200,76561198057012202
Garshasp: Temple of the Dragon,0,99410,76561198057012202
Wanderlust: Rebirth,0,211580,76561198057012202
Sleeping Dogs™,2860,202170,76561198057012202
Awesomenauts,0,204300,76561198057012202
Galactic Civilizations I: Ultimate Edition,0,214150,76561198057012202
Death Rally,0,108700,76561198057012202
Snapshot,0,204220,76561198057012202
Telltale Texas Hold'Em,0,8330,76561198057012202
Bone: Out from Boneville,0,8310,76561198057012202
Bone: The Great Cow Race,0,8320,76561198057012202
Tryst,0,208460,76561198057012202
LEGO® Harry Potter: Years 5-7,0,204120,76561198057012202
LEGO® Batman™ 2: DC Super Heroes,0,213330,76561198057012202
Grand Ages: Rome,0,23450,76561198057012202
S.T.A.L.K.E.R.: Call of Pripyat,1192,41700,76561198057012202
Cargo! - The quest for gravity,21,41740,76561198057012202
Shadow Harvest: Phantom Ops,21,92700,76561198057012202
Air Conflicts - Secret Wars,32,95900,76561198057012202
Broken Sword 3 - the Sleeping Dragon,0,33610,76561198057012202
Kaptain Brawe,0,65080,76561198057012202
The Basement Collection,0,214790,76561198057012202
Closure,0,72000,76561198057012202
Planets Under Attack,0,218510,76561198057012202
Bloody Good Time,38,2450,76561198057012202
I Am Alive,664,214250,76561198057012202
Shatter,42,20820,76561198057012202
Torchlight,0,41500,76561198057012202
Space Pirates and Zombies,78,107200,76561198057012202
Rochard,0,107800,76561198057012202
Vessel,0,108500,76561198057012202
Gratuitous Space Battles,427,41800,76561198057012202
BIT.TRIP RUNNER,104,63710,76561198057012202
Jamestown,0,94200,76561198057012202
Wizorb,0,207420,76561198057012202
Strike Suit Zero,57,209540,76561198057012202
FTL: Faster Than Light,699,212680,76561198057012202
Mark of the Ninja,0,214560,76561198057012202
Critter Crunch,0,61730,76561198057012202
Thomas Was Alone,204,220780,76561198057012202
Worms Revolution,82,200170,76561198057012202
Worms Armageddon,32,217200,76561198057012202
Fantasy Wars,0,63900,76561198057012202
McPixel,398,220860,76561198057012202
Knights of Honor,0,25830,76561198057012202
Elven Legacy,0,25850,76561198057012202
Borderlands 2,794,49520,76561198057012202
Little Inferno,183,221260,76561198057012202
Edna & Harvey: Harvey's New Eyes,0,219910,76561198057012202
X-Blades,26,7510,76561198057012202
Crazy Machines 1.5 New from the Lab,0,18450,76561198057012202
Crazy Machines 1.5 Inventors Training Camp,0,18460,76561198057012202
Crazy Machines,0,18420,76561198057012202
King's Bounty: Warriors of the North,153,203350,76561198057012202
Fairy Bloom Freesia,0,214590,76561198057012202
The Guild II - Pirates of the European Seas,0,39660,76561198057012202
Scribblenauts Unlimited,531,218680,76561198057012202
POSTAL 2,883,223470,76561198057012202
Miasmata,0,223510,76561198057012202
Giana Sisters: Twisted Dreams,0,223220,76561198057012202
Deadlight,13,211400,76561198057012202
Natural Selection 2,0,4920,76561198057012202
Ceville,0,23460,76561198057012202
Crash Time III,0,33620,76561198057012202
Patrician III,0,33570,76561198057012202
Legacy of Kain: Defiance,0,224300,76561198057012202
Divine Divinity,149,214170,76561198057012202
Beyond Divinity,0,219760,76561198057012202
Divinity II: Developer's Cut,0,219780,76561198057012202
Pid ,0,218740,76561198057012202
Earth 2160,0,1900,76561198057012202
Two Worlds: Epic Edition,59,1930,76561198057012202
Faerie Solitaire,142,38600,76561198057012202
Faerie Solitaire Remastered,0,583930,76561198057012202
Crayon Physics Deluxe,0,26900,76561198057012202
Duke Nukem 3D: Megaton Edition,0,225140,76561198057012202
Tomb Raider II,0,225300,76561198057012202
GT Legends,0,44690,76561198057012202
Zen Bound® 2,0,61600,76561198057012202
LEGO® The Lord of the Rings™,0,214510,76561198057012202
AirBuccaneers,63,223630,76561198057012202
Hitman: Absolution,772,203140,76561198057012202
Company of Heroes - Legacy Edition,0,4560,76561198057012202
Company of Heroes: Opposing Fronts,0,9340,76561198057012202
Company of Heroes: Tales of Valor,0,20540,76561198057012202
Darksiders,83,50620,76561198057012202
Red Faction: Armageddon,552,55110,76561198057012202
Company of Heroes ,0,228200,76561198057012202
Darksiders Warmastered Edition,105,462780,76561198057012202
Dead Rising 2,181,45740,76561198057012202
Dead Rising 2: Off the Record,0,45770,76561198057012202
Mass Effect,928,17460,76561198057012202
Mass Effect 2,1397,24980,76561198057012202
Star Wolves 3: Civil War,0,46260,76561198057012202
Tomb Raider I,0,224960,76561198057012202
Tomb Raider III: Adventures of Lara Croft,0,225320,76561198057012202
Dead Pixels,0,222980,76561198057012202
Super Hexagon,18,221640,76561198057012202
Crusader Kings Complete,0,204940,76561198057012202
Far Cry® 3,1539,220240,76561198057012202
Tomb Raider: The Last Revelation,0,224980,76561198057012202
Party of Sin,0,212700,76561198057012202
"Warhammer 40,000: Dawn of War - Game of the Year Edition",0,4570,76561198057012202
Triple Town,114,209950,76561198057012202
Hunted: The Demon's Forge,0,22450,76561198057012202
DmC Devil May Cry,0,220440,76561198057012202
Iron Sky Invasion,0,224900,76561198057012202
Assassin's Creed® III,2644,208480,76561198057012202
Infestation: Survivor Stories Classic,21,226700,76561198057012202
Aliens: Colonial Marines,538,49540,76561198057012202
Sang-Froid - Tales of Werewolves,0,227220,76561198057012202
Singularity,421,42670,76561198057012202
Cave Story+,0,200900,76561198057012202
Forge,0,223390,76561198057012202
Dungeonland,0,218130,76561198057012202
Baldur's Gate: Enhanced Edition,274,228280,76561198057012202
Tomb Raider,118,203160,76561198057012202
The Journey Down: Chapter One,0,220090,76561198057012202
The Sims(TM) 3,11384,47890,76561198057012202
Antichamber,160,219890,76561198057012202
Ys I,33,223810,76561198057012202
Ys II,0,223870,76561198057012202
Tropico 4,0,57690,76561198057012202
Sniper Elite: Nazi Zombie Army,77,227100,76561198057012202
TrackMania Nations Forever,0,11020,76561198057012202
The Cat and the Coup,18,95700,76561198057012202
Divinity: Dragon Commander Beta,0,230170,76561198057012202
Resident Evil 6 / Biohazard 6,0,221040,76561198057012202
Brütal Legend,0,225260,76561198057012202
STAR WARS™ Republic Commando,0,6000,76561198057012202
STAR WARS™ Jedi Knight: Jedi Academy™,0,6020,76561198057012202
STAR WARS™ Jedi Knight II: Jedi Outcast™,0,6030,76561198057012202
"Star Wars: Battlefront 2 (Classic, 2005)",409,6060,76561198057012202
STAR WARS™ Starfighter™,22,32350,76561198057012202
STAR WARS™: Knights of the Old Republic™,218,32370,76561198057012202
STAR WARS™ Jedi Knight: Dark Forces II,255,32380,76561198057012202
STAR WARS™ Jedi Knight: Mysteries of the Sith™,0,32390,76561198057012202
STAR WARS™: Dark Forces,237,32400,76561198057012202
STAR WARS™: The Clone Wars - Republic Heroes™,0,32420,76561198057012202
STAR WARS™: The Force Unleashed™ Ultimate Sith Edition,647,32430,76561198057012202
STAR WARS™ Empire at War: Gold Pack,0,32470,76561198057012202
STAR WARS™: The Force Unleashed™ II,401,32500,76561198057012202
STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,0,208580,76561198057012202
MUD - FIM Motocross World Championship™,0,226780,76561198057012202
The Showdown Effect,0,204080,76561198057012202
The Chronicles of Riddick: Assault on Dark Athena,935,9860,76561198057012202
Ghostbusters: The Video Game,536,9870,76561198057012202
Vegas: Make It Big,0,6210,76561198057012202
Slam Bolt Scrappers,0,96900,76561198057012202
Go Home Dinosaurs!,81,216090,76561198057012202
Rush Bros,0,234490,76561198057012202
BioShock Infinite,0,8870,76561198057012202
Shattered Haven,0,234370,76561198057012202
The Walking Dead™: Survival Instinct,30,220050,76561198057012202
Evoland,245,233470,76561198057012202
POSTAL,8,232770,76561198057012202
God Mode,33,227480,76561198057012202
Another World,0,233550,76561198057012202
Surgeon Simulator,0,233720,76561198057012202
Cubemen 2,106,228440,76561198057012202
Metro: Last Light,1239,43160,76561198057012202
GRID 2,0,44350,76561198057012202
Sanctum 2,53,210770,76561198057012202
Resident Evil Revelations / Biohazard Revelations,0,222480,76561198057012202
Super Sanctum TD,0,235250,76561198057012202
FEZ,65,224760,76561198057012202
Call of Cthulhu: Dark Corners of the Earth,692,22340,76561198057012202
Shadowrun Returns,0,234650,76561198057012202
The 39 Steps,0,234940,76561198057012202
Lost Planet: Extreme Condition - Colonies Edition,0,45720,76561198057012202
Poker Night 2,0,234710,76561198057012202
Ride to Hell: Retribution,0,209340,76561198057012202
Receiver,0,234190,76561198057012202
Far Cry® 3 Blood Dragon,437,233270,76561198057012202
Reus,0,222730,76561198057012202
Zeno Clash 2,0,215690,76561198057012202
The Bureau: XCOM Declassified,784,65930,76561198057012202
Defiance,0,224600,76561198057012202
Remember Me,185,228300,76561198057012202
Call of Juarez Gunslinger,0,204450,76561198057012202
Afterfall InSanity - Dirty Arena Edition,0,238170,76561198057012202
System Shock 2,159,238210,76561198057012202
Super Puzzle Platformer Deluxe,0,238530,76561198057012202
Afterfall InSanity Extended Edition,428,224420,76561198057012202
Trine 2,73,35720,76561198057012202
Monster Loves You!,106,226740,76561198057012202
